Date : 2023-04-30 18:19:58
Directory : c:\Users\Dell Latitude\Documents\coding_files\restaurant
Total : 213 files,  17084 codes, 1608 comments, 1551 blanks, all 20243 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\carousel.blade.php                                        | PHP        |         32 |          0 |          2 |         34 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\cart-products-spreader.blade.php                          | PHP        |          0 |          0 |          1 |          1 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\cta.blade.php                                             | PHP        |         47 |          0 |          1 |         48 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\dashboard-card.blade.php                                  | PHP        |         13 |          0 |          0 |         13 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\doughnut-chart.blade.php                                  | PHP        |         53 |         10 |         15 |         78 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\footer.blade.php                                          | PHP        |         54 |          0 |          1 |         55 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\loader.blade.php                                          | PHP        |         11 |          0 |          1 |         12 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\modal.blade.php                                           | PHP        |          8 |          0 |          1 |          9 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\nav.blade.php                                             | PHP        |         57 |          0 |          5 |         62 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\navbar.blade.php                                          | PHP        |        106 |          0 |          4 |        110 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\products-spreader.blade.php                               | PHP        |         85 |          0 |          7 |         92 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\sections-header.blade.php                                 | PHP        |         30 |          0 |          1 |         31 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\services.blade.php                                        | PHP        |         47 |          0 |          2 |         49 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\spinner.blade.php                                         | PHP        |         21 |          0 |          2 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\testimonials.blade.php                                    | PHP        |         86 |          0 |          8 |         94 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\contact.blade.php                                                    | PHP        |         96 |          0 |         11 |        107 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\index.blade.php                                                      | PHP        |         67 |          0 |          5 |         72 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\layouts\admin-unauthenticated.blade.php                              | PHP        |         19 |          0 |          1 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\layouts\admin.blade.php                                              | PHP        |         39 |          0 |          6 |         45 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\layouts\app.blade.php                                                | PHP        |         21 |          0 |          1 |         22 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\admin-nav.blade.php                                         | PHP        |         42 |         14 |         10 |         66 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\assign-delivery-man.blade.php                               | PHP        |         39 |          0 |          4 |         43 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\bill.blade.php                                              | PHP        |         11 |          0 |          1 |         12 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\bookings-table.blade.php                                    | PHP        |         46 |          0 |          5 |         51 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\cart-count.blade.php                                        | PHP        |          1 |          0 |          3 |          4 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\cart-product.blade.php                                      | PHP        |         16 |          0 |          3 |         19 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\cart-products-spreader.blade.php                            | PHP        |         15 |          0 |          1 |         16 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\categories-table.blade.php                                  | PHP        |         53 |          0 |          7 |         60 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\customers-table.blade.php                                   | PHP        |         38 |          0 |          1 |         39 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\delivery-men-table.blade.php                                | PHP        |         57 |          0 |          3 |         60 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\order-progress.blade.php                                    | PHP        |         14 |          0 |          1 |         15 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\orders-table.blade.php                                      | PHP        |         77 |          0 |          3 |         80 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\product-card.blade.php                                      | PHP        |         12 |          0 |          2 |         14 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\products-search.blade.php                                   | PHP        |         17 |          0 |          1 |         18 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\products-table.blade.php                                    | PHP        |         55 |          0 |          3 |         58 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\profile-form.blade.php                                      | PHP        |         79 |          0 |          4 |         83 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\session-listener.blade.php                                  | PHP        |         11 |          0 |          0 |         11 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\tables-table.blade.php                                      | PHP        |         53 |          0 |          3 |         56 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\test.blade.php                                              | PHP        |         64 |          0 |          1 |         65 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\testimonials-table.blade.php                                | PHP        |         40 |          0 |          1 |         41 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\login.blade.php                                                      | PHP        |         40 |          0 |          6 |         46 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\myorders.blade.php                                                   | PHP        |         70 |          0 |          8 |         78 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\pagination-links.blade.php                                           | PHP        |         27 |          0 |          7 |         34 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\products.blade.php                                                   | PHP        |          6 |          0 |          1 |          7 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\signup.blade.php                                                     | PHP        |         92 |          0 |          4 |         96 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\routes\api.php                                                                       | PHP        |          6 |         10 |          4 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\routes\channels.php                                                                  | PHP        |          5 |         10 |          4 |         19 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\routes\console.php                                                                   | PHP        |          6 |         10 |          4 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\routes\web.php                                                                       | PHP        |         41 |         12 |         10 |         63 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\tests\CreatesApplication.php                                                         | PHP        |         13 |          3 |          6 |         22 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\tests\Feature\ExampleTest.php                                                        | PHP        |         11 |          4 |          5 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\tests\TestCase.php                                                                   | PHP        |          7 |          0 |          4 |         11 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\tests\Unit\ExampleTest.php                                                           | PHP        |         10 |          3 |          4 |         17 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\vendor\spatie\ignition\resources\compiled\ignition.css                               | CSS        |          1 |          2 |          0 |          3 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\vendor\spatie\ignition\resources\compiled\ignition.js                                | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\vite.config.js                                                                       | JavaScript |         10 |          0 |          2 |         12 |
| Total                                                                                                                                         |            |     17,084 |      1,608 |      1,551 |     20,243 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
